Date : 2024-06-30 21:33:42
Directory : d:\se\carplate
Total : 839 files,  131265 codes, 3783 comments, 21226 blanks, all 156274 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\se\carplate\back\src\main\java\cn\parking\basics\baseClass\ZwzBaseDao.java                             | Java         |         12 |          4 |          4 |         20 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\baseClass\ZwzBaseEntity.java                          | Java         |         57 |          4 |         11 |         72 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\baseClass\ZwzBaseService.java                         | Java         |         51 |          4 |         15 |         70 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\baseVo\PageVo.java                                    | Java         |         22 |          4 |          9 |         35 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\baseVo\Result.java                                    | Java         |         24 |          4 |         10 |         38 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\baseVo\TokenUser.java                                 | Java         |         21 |          4 |          8 |         33 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\code\MyBatisPlusCodeUtils.java                        | Java         |         21 |          4 |          8 |         33 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\code\bean\Entity.java                                 | Java         |         38 |          4 |         16 |         58 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\code\bean\Field.java                                  | Java         |         37 |          4 |         18 |         59 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\code\bean\Item.java                                   | Java         |         22 |          4 |          8 |         34 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\code\vue\MyBatisPlusUtils.java                        | Java         |        236 |         26 |         25 |        287 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\code\vue\ZwzVueGenerator.java                         | Java         |        265 |         20 |         13 |        298 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\exception\ZwzAuthException.java                       | Java         |         29 |          4 |         11 |         44 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\exception\ZwzException.java                           | Java         |         20 |          4 |          8 |         32 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\log\LogType.java                                      | Java         |         10 |         19 |          8 |         37 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\log\SystemLog.java                                    | Java         |         16 |          4 |          7 |         27 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\log\SystemLogAspect.java                              | Java         |        136 |          4 |         22 |        162 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\mybatisplus\MyMetaObjectHandler.java                  | Java         |         69 |          4 |         15 |         88 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\mybatisplus\MybatisPlusConfig.java                    | Java         |         29 |         12 |          1 |         42 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\parameter\CaptchaProperties.java                      | Java         |         19 |          4 |          7 |         30 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\parameter\CommonConstant.java                         | Java         |         28 |          4 |         14 |         46 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\parameter\ZwzLoginProperties.java                     | Java         |         39 |          4 |         20 |         63 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\redis\RedisExceptionThrowsConfig.java                 | Java         |         80 |          7 |          8 |         95 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\redis\RedisTemplateHelper.java                        | Java         |        514 |          9 |        128 |        651 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\security\SecurityUserDetails.java                     | Java         |         69 |         10 |         12 |         91 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\security\UserDetailsServiceImpl.java                  | Java         |         41 |          4 |          8 |         53 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\security\WebSecurityConfig.java                       | Java         |         90 |          4 |         18 |        112 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\security\controller\QwVerificationCodeController.java | Java         |         76 |          7 |          9 |         92 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\security\jwt\AuthenticationFailHandler.java           | Java         |         71 |          6 |         12 |         89 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\security\jwt\AuthenticationSuccessHandler.java        | Java         |         75 |          6 |         11 |         92 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\security\jwt\JwtTokenOncePerRequestFilter.java        | Java         |         86 |          4 |         14 |        104 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\security\jwt\ZwzAccessDeniedHandler.java              | Java         |         19 |          4 |          7 |         30 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\security\utils\WeChatUploadMeidaUtils.java            | Java         |         70 |         22 |         10 |        102 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\security\utils\WeiChatUtils.java                      | Java         |        137 |         37 |         22 |        196 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\security\utils\ZwzWxNoticeUtils.java                  | Java         |        257 |         49 |         31 |        337 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\security\validate\ImageValidateFilter.java            | Java         |         60 |          4 |         10 |         74 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\utils\Base64DecodeMultipartFile.java                  | Java         |         72 |          4 |         23 |         99 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\utils\CommonUtil.java                                 | Java         |         37 |          5 |          9 |         51 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\utils\CreateVerifyCode.java                           | Java         |        183 |         23 |         35 |        241 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\utils\IpInfoUtil.java                                 | Java         |         86 |          4 |         14 |        104 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\utils\PageUtil.java                                   | Java         |        114 |          4 |         14 |        132 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\utils\ResponseUtil.java                               | Java         |         55 |          4 |         11 |         70 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\utils\ResultUtil.java                                 | Java         |         82 |          4 |         21 |        107 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\utils\SecurityUtil.java                               | Java         |        130 |         13 |         15 |        158 |
| d:\se\carplate\back\src\main\java\cn\parking\basics\utils\ThreadPoolUtil.java                             | Java         |         23 |          4 |         11 |         38 |
| d:\se\carplate\back\src\main\java\cn\parking\data\controller\DepartmentController.java                    | Java         |        225 |          4 |         21 |        250 |
| d:\se\carplate\back\src\main\java\cn\parking\data\controller\DictController.java                          | Java         |         93 |          4 |         13 |        110 |
| d:\se\carplate\back\src\main\java\cn\parking\data\controller\DictDataController.java                      | Java         |        112 |          4 |         13 |        129 |
| d:\se\carplate\back\src\main\java\cn\parking\data\controller\FileController.java                          | Java         |        178 |          4 |         16 |        198 |
| d:\se\carplate\back\src\main\java\cn\parking\data\controller\LogController.java                           | Java         |         47 |          4 |          5 |         56 |
| d:\se\carplate\back\src\main\java\cn\parking\data\controller\MyDoorController.java                        | Java         |        125 |          4 |         12 |        141 |
| d:\se\carplate\back\src\main\java\cn\parking\data\controller\MyUserController.java                        | Java         |         41 |          4 |          5 |         50 |
| d:\se\carplate\back\src\main\java\cn\parking\data\controller\PermissionController.java                    | Java         |        298 |         18 |         22 |        338 |
| d:\se\carplate\back\src\main\java\cn\parking\data\controller\RedisController.java                         | Java         |        126 |          4 |         17 |        147 |
| d:\se\carplate\back\src\main\java\cn\parking\data\controller\RoleController.java                          | Java         |        166 |          6 |         16 |        188 |
| d:\se\carplate\back\src\main\java\cn\parking\data\controller\SecurityController.java                      | Java         |         54 |          4 |         10 |         68 |
| d:\se\carplate\back\src\main\java\cn\parking\data\controller\SettingController.java                       | Java         |         39 |          4 |          7 |         50 |
| d:\se\carplate\back\src\main\java\cn\parking\data\controller\UploadController.java                        | Java         |         66 |          4 |          9 |         79 |
| d:\se\carplate\back\src\main\java\cn\parking\data\controller\UserController.java                          | Java         |        435 |          8 |         37 |        480 |
| d:\se\carplate\back\src\main\java\cn\parking\data\dao\LogDao.java                                         | Java         |          5 |          4 |          4 |         13 |
| d:\se\carplate\back\src\main\java\cn\parking\data\dao\mapper\DepartmentHeaderMapper.java                  | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\data\dao\mapper\DepartmentMapper.java                        | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\data\dao\mapper\DictDataMapper.java                          | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\data\dao\mapper\DictMapper.java                              | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\data\dao\mapper\FileMapper.java                              | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\data\dao\mapper\LogMapper.java                               | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\data\dao\mapper\PermissionMapper.java                        | Java         |          7 |          4 |          4 |         15 |
| d:\se\carplate\back\src\main\java\cn\parking\data\dao\mapper\RoleMapper.java                              | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\data\dao\mapper\RolePermissionMapper.java                    | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\data\dao\mapper\SettingMapper.java                           | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\data\dao\mapper\UserMapper.java                              | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\data\dao\mapper\UserRoleMapper.java                          | Java         |          8 |          4 |          4 |         16 |
| d:\se\carplate\back\src\main\java\cn\parking\data\entity\Department.java                                  | Java         |         48 |          4 |         12 |         64 |
| d:\se\carplate\back\src\main\java\cn\parking\data\entity\DepartmentHeader.java                            | Java         |         28 |          4 |          7 |         39 |
| d:\se\carplate\back\src\main\java\cn\parking\data\entity\Dict.java                                        | Java         |         31 |          4 |          8 |         43 |
| d:\se\carplate\back\src\main\java\cn\parking\data\entity\DictData.java                                    | Java         |         41 |          4 |         11 |         56 |
| d:\se\carplate\back\src\main\java\cn\parking\data\entity\File.java                                        | Java         |         43 |          4 |         11 |         58 |
| d:\se\carplate\back\src\main\java\cn\parking\data\entity\Log.java                                         | Java         |         54 |          4 |         18 |         76 |
| d:\se\carplate\back\src\main\java\cn\parking\data\entity\Permission.java                                  | Java         |         70 |          4 |         21 |         95 |
| d:\se\carplate\back\src\main\java\cn\parking\data\entity\Role.java                                        | Java         |         35 |          4 |         10 |         49 |
| d:\se\carplate\back\src\main\java\cn\parking\data\entity\RolePermission.java                              | Java         |         26 |          4 |          6 |         36 |
| d:\se\carplate\back\src\main\java\cn\parking\data\entity\Setting.java                                     | Java         |         27 |          4 |          6 |         37 |
| d:\se\carplate\back\src\main\java\cn\parking\data\entity\User.java                                        | Java         |         80 |          4 |         22 |        106 |
| d:\se\carplate\back\src\main\java\cn\parking\data\entity\UserRole.java                                    | Java         |         36 |          4 |          9 |         49 |
| d:\se\carplate\back\src\main\java\cn\parking\data\service\IDepartmentHeaderService.java                   | Java         |          5 |          4 |          4 |         13 |
| d:\se\carplate\back\src\main\java\cn\parking\data\service\IDepartmentService.java                         | Java         |          5 |          4 |          4 |         13 |
| d:\se\carplate\back\src\main\java\cn\parking\data\service\IDictDataService.java                           | Java         |          5 |          4 |          4 |         13 |
| d:\se\carplate\back\src\main\java\cn\parking\data\service\IDictService.java                               | Java         |          5 |          4 |          4 |         13 |
| d:\se\carplate\back\src\main\java\cn\parking\data\service\IFileService.java                               | Java         |          5 |          4 |          4 |         13 |
| d:\se\carplate\back\src\main\java\cn\parking\data\service\ILogService.java                                | Java         |          5 |          4 |          4 |         13 |
| d:\se\carplate\back\src\main\java\cn\parking\data\service\IPermissionService.java                         | Java         |          6 |          4 |          4 |         14 |
| d:\se\carplate\back\src\main\java\cn\parking\data\service\IRolePermissionService.java                     | Java         |          5 |          4 |          4 |         13 |
| d:\se\carplate\back\src\main\java\cn\parking\data\service\IRoleService.java                               | Java         |          5 |          4 |          4 |         13 |
| d:\se\carplate\back\src\main\java\cn\parking\data\service\ISettingService.java                            | Java         |          5 |          4 |          4 |         13 |
| d:\se\carplate\back\src\main\java\cn\parking\data\service\IUserRoleService.java                           | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\data\service\IUserService.java                               | Java         |          5 |          4 |          4 |         13 |
| d:\se\carplate\back\src\main\java\cn\parking\data\service\LogService.java                                 | Java         |          5 |          4 |          4 |         13 |
| d:\se\carplate\back\src\main\java\cn\parking\data\serviceimpl\IDepartmentHeaderServiceImpl.java           | Java         |          9 |          4 |          4 |         17 |
| d:\se\carplate\back\src\main\java\cn\parking\data\serviceimpl\IDepartmentServiceImpl.java                 | Java         |          9 |          4 |          4 |         17 |
| d:\se\carplate\back\src\main\java\cn\parking\data\serviceimpl\IDictDataServiceImpl.java                   | Java         |          9 |          4 |          4 |         17 |
| d:\se\carplate\back\src\main\java\cn\parking\data\serviceimpl\IDictServiceImpl.java                       | Java         |          9 |          4 |          4 |         17 |
| d:\se\carplate\back\src\main\java\cn\parking\data\serviceimpl\IFileServiceImpl.java                       | Java         |          9 |          4 |          4 |         17 |
| d:\se\carplate\back\src\main\java\cn\parking\data\serviceimpl\ILogServiceImpl.java                        | Java         |          9 |          4 |          4 |         17 |
| d:\se\carplate\back\src\main\java\cn\parking\data\serviceimpl\IPermissionServiceImpl.java                 | Java         |          9 |          4 |          4 |         17 |
| d:\se\carplate\back\src\main\java\cn\parking\data\serviceimpl\IRolePermissionServiceImpl.java             | Java         |          9 |          4 |          4 |         17 |
| d:\se\carplate\back\src\main\java\cn\parking\data\serviceimpl\IRoleServiceImpl.java                       | Java         |          9 |          4 |          4 |         17 |
| d:\se\carplate\back\src\main\java\cn\parking\data\serviceimpl\ISettingServiceImpl.java                    | Java         |          9 |          4 |          4 |         17 |
| d:\se\carplate\back\src\main\java\cn\parking\data\serviceimpl\IUserRoleServiceImpl.java                   | Java         |          9 |          4 |          4 |         17 |
| d:\se\carplate\back\src\main\java\cn\parking\data\serviceimpl\IUserServiceImpl.java                       | Java         |          9 |          4 |          4 |         17 |
| d:\se\carplate\back\src\main\java\cn\parking\data\serviceimpl\LogServiceImpl.java                         | Java         |         16 |          4 |          5 |         25 |
| d:\se\carplate\back\src\main\java\cn\parking\data\utils\FileManage.java                                   | Java         |         19 |          4 |          9 |         32 |
| d:\se\carplate\back\src\main\java\cn\parking\data\utils\VoUtil.java                                       | Java         |         15 |          4 |          4 |         23 |
| d:\se\carplate\back\src\main\java\cn\parking\data\utils\ZwzFileUtils.java                                 | Java         |         83 |          4 |         12 |         99 |
| d:\se\carplate\back\src\main\java\cn\parking\data\utils\ZwzNullUtils.java                                 | Java         |         12 |          4 |          4 |         20 |
| d:\se\carplate\back\src\main\java\cn\parking\data\vo\AntvVo.java                                          | Java         |         11 |          4 |          5 |         20 |
| d:\se\carplate\back\src\main\java\cn\parking\data\vo\MenuVo.java                                          | Java         |         37 |          4 |         18 |         59 |
| d:\se\carplate\back\src\main\java\cn\parking\data\vo\OssSettingVo.java                                    | Java         |         18 |          4 |          6 |         28 |
| d:\se\carplate\back\src\main\java\cn\parking\data\vo\PermissionDTO.java                                   | Java         |         18 |          4 |          5 |         27 |
| d:\se\carplate\back\src\main\java\cn\parking\data\vo\RedisVo.java                                         | Java         |         16 |          4 |          6 |         26 |
| d:\se\carplate\back\src\main\java\cn\parking\data\vo\RoleDTO.java                                         | Java         |         20 |          4 |          6 |         30 |
| d:\se\carplate\back\src\main\java\cn\parking\data\vo\UserByPermissionVo.java                              | Java         |         12 |          4 |          3 |         19 |
| d:\se\carplate\back\src\main\java\cn\parking\park\controller\FeeScaleController.java                      | Java         |         76 |         16 |         15 |        107 |
| d:\se\carplate\back\src\main\java\cn\parking\park\controller\IcCardController.java                        | Java         |        123 |          4 |         16 |        143 |
| d:\se\carplate\back\src\main\java\cn\parking\park\controller\IcCardLossController.java                    | Java         |        133 |          4 |         17 |        154 |
| d:\se\carplate\back\src\main\java\cn\parking\park\controller\ParkingDataController.java                   | Java         |        131 |          6 |         17 |        154 |
| d:\se\carplate\back\src\main\java\cn\parking\park\controller\ParkingSpaceController.java                  | Java         |         88 |          4 |         13 |        105 |
| d:\se\carplate\back\src\main\java\cn\parking\park\controller\SuperController.java                         | Java         |         32 |          4 |          6 |         42 |
| d:\se\carplate\back\src\main\java\cn\parking\park\controller\VehicleController.java                       | Java         |        110 |          4 |         15 |        129 |
| d:\se\carplate\back\src\main\java\cn\parking\park\entity\FeeScale.java                                    | Java         |         27 |          6 |          8 |         41 |
| d:\se\carplate\back\src\main\java\cn\parking\park\entity\IcCard.java                                      | Java         |         35 |          4 |         10 |         49 |
| d:\se\carplate\back\src\main\java\cn\parking\park\entity\IcCardLoss.java                                  | Java         |         34 |          4 |         10 |         48 |
| d:\se\carplate\back\src\main\java\cn\parking\park\entity\ParkingData.java                                 | Java         |         35 |          4 |         10 |         49 |
| d:\se\carplate\back\src\main\java\cn\parking\park\entity\ParkingSpace.java                                | Java         |         29 |          4 |          7 |         40 |
| d:\se\carplate\back\src\main\java\cn\parking\park\entity\Vehicle.java                                     | Java         |         30 |          4 |          8 |         42 |
| d:\se\carplate\back\src\main\java\cn\parking\park\mapper\FeeScaleMapper.java                              | Java         |          6 |          5 |          4 |         15 |
| d:\se\carplate\back\src\main\java\cn\parking\park\mapper\IcCardLossMapper.java                            | Java         |          6 |          4 |          4 |         14 |
| d:\se\carplate\back\src\main\java\cn\parking\park\mapper\IcCardMapper.java                                | Java         |          6 |          4 |          4 |         14 |
| d:\se\carplate\back\src\main\java\cn\parking\park\mapper\ParkingDataMapper.java                           | Java         |          6 |          4 |          4 |         14 |
| d:\se\carplate\back\src\main\java\cn\parking\park\mapper\ParkingSpaceMapper.java                          | Java         |          6 |          4 |          4 |         14 |
| d:\se\carplate\back\src\main\java\cn\parking\park\mapper\VehicleMapper.java                               | Java         |          6 |          4 |          4 |         14 |
| d:\se\carplate\back\src\main\java\cn\parking\park\service\IFeeScaleService.java                           | Java         |          5 |          5 |          3 |         13 |
| d:\se\carplate\back\src\main\java\cn\parking\park\service\IIcCardLossService.java                         | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\park\service\IIcCardService.java                             | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\park\service\IParkingDataService.java                        | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\park\service\IParkingSpaceService.java                       | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\park\service\IVehicleService.java                            | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\park\serviceimpl\IFeeScaleServiceImpl.java                   | Java         |         16 |          5 |          3 |         24 |
| d:\se\carplate\back\src\main\java\cn\parking\park\serviceimpl\IIcCardLossServiceImpl.java                 | Java         |         16 |          4 |          3 |         23 |
| d:\se\carplate\back\src\main\java\cn\parking\park\serviceimpl\IIcCardServiceImpl.java                     | Java         |         16 |          4 |          3 |         23 |
| d:\se\carplate\back\src\main\java\cn\parking\park\serviceimpl\IParkingDataServiceImpl.java                | Java         |         16 |          4 |          3 |         23 |
| d:\se\carplate\back\src\main\java\cn\parking\park\serviceimpl\IParkingSpaceServiceImpl.java               | Java         |         16 |          4 |          3 |         23 |
| d:\se\carplate\back\src\main\java\cn\parking\park\serviceimpl\IVehicleServiceImpl.java                    | Java         |         16 |          4 |          3 |         23 |
| d:\se\carplate\back\src\main\java\cn\parking\test\controller\StudentController.java                       | Java         |         98 |          4 |         13 |        115 |
| d:\se\carplate\back\src\main\java\cn\parking\test\controller\TeacherController.java                       | Java         |        124 |          4 |         14 |        142 |
| d:\se\carplate\back\src\main\java\cn\parking\test\entity\Student.java                                     | Java         |         31 |          4 |          8 |         43 |
| d:\se\carplate\back\src\main\java\cn\parking\test\entity\Teacher.java                                     | Java         |         39 |          4 |         12 |         55 |
| d:\se\carplate\back\src\main\java\cn\parking\test\mapper\StudentMapper.java                               | Java         |          6 |          4 |          4 |         14 |
| d:\se\carplate\back\src\main\java\cn\parking\test\mapper\TeacherMapper.java                               | Java         |          6 |          4 |          4 |         14 |
| d:\se\carplate\back\src\main\java\cn\parking\test\service\IStudentService.java                            | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\test\service\ITeacherService.java                            | Java         |          5 |          4 |          3 |         12 |
| d:\se\carplate\back\src\main\java\cn\parking\test\serviceimpl\IStudentServiceImpl.java                    | Java         |         16 |          4 |          3 |         23 |
| d:\se\carplate\back\src\main\java\cn\parking\test\serviceimpl\ITeacherServiceImpl.java                    | Java         |         16 |          4 |          3 |         23 |
| d:\se\carplate\back\src\main\resources\application.yml                                                    | YAML         |         69 |          1 |          0 |         70 |
| d:\se\carplate\back\target\classes\application.yml                                                        | YAML         |         69 |          1 |          0 |         70 |
| d:\se\carplate\front\package-lock.json                                                                    | JSON         |     13,618 |          0 |          1 |     13,619 |
| d:\se\carplate\front\package.json                                                                         | JSON         |         39 |          0 |          1 |         40 |
| d:\se\carplate\front\public\index.html                                                                    | HTML         |        153 |          0 |         20 |        173 |
| d:\se\carplate\front\public\wwLogin-1.0.0.js                                                              | JavaScript   |          2 |          0 |          0 |          2 |
| d:\se\carplate\front\src\App.vue                                                                          | vue          |         56 |          0 |         12 |         68 |
| d:\se\carplate\front\src\api\index.js                                                                     | JavaScript   |         58 |          0 |          3 |         61 |
| d:\se\carplate\front\src\libs\axios.js                                                                    | JavaScript   |        137 |          0 |         11 |        148 |
| d:\se\carplate\front\src\libs\excel.js                                                                    | JavaScript   |         87 |          0 |         10 |         97 |
| d:\se\carplate\front\src\libs\hasPermission.js                                                            | JavaScript   |         13 |          0 |          2 |         15 |
| d:\se\carplate\front\src\libs\hasRole.js                                                                  | JavaScript   |         14 |          0 |          3 |         17 |
| d:\se\carplate\front\src\libs\icon.js                                                                     | JavaScript   |      3,513 |          0 |          1 |      3,514 |
| d:\se\carplate\front\src\libs\lazyLoading.js                                                              | JavaScript   |          1 |          0 |          2 |          3 |
| d:\se\carplate\front\src\libs\storage.js                                                                  | JavaScript   |         19 |          9 |          3 |         31 |
| d:\se\carplate\front\src\libs\table2excel.js                                                              | JavaScript   |         87 |          7 |          7 |        101 |
| d:\se\carplate\front\src\libs\util.js                                                                     | JavaScript   |        401 |         23 |         28 |        452 |
| d:\se\carplate\front\src\libs\validate.js                                                                 | JavaScript   |         33 |         24 |          3 |         60 |
| d:\se\carplate\front\src\main.js                                                                          | JavaScript   |         51 |          0 |          2 |         53 |
| d:\se\carplate\front\src\router\index.js                                                                  | JavaScript   |         46 |          1 |          6 |         53 |
| d:\se\carplate\front\src\router\router.js                                                                 | JavaScript   |         67 |          0 |          9 |         76 |
| d:\se\carplate\front\src\store\index.js                                                                   | JavaScript   |         18 |          0 |          6 |         24 |
| d:\se\carplate\front\src\store\modules\app.js                                                             | JavaScript   |        170 |          4 |          3 |        177 |
| d:\se\carplate\front\src\store\modules\user.js                                                            | JavaScript   |         11 |          0 |          3 |         14 |
| d:\se\carplate\front\src\styles\common.less                                                               | Less         |         64 |          0 |         19 |         83 |
| d:\se\carplate\front\src\styles\single-common.less                                                        | Less         |         38 |          0 |          5 |         43 |
| d:\se\carplate\front\src\styles\table-common.less                                                         | Less         |         33 |          0 |          6 |         39 |
| d:\se\carplate\front\src\styles\tree&table-common.less                                                    | Less         |         49 |          0 |          4 |         53 |
| d:\se\carplate\front\src\styles\tree-common.less                                                          | Less         |         27 |          0 |          5 |         32 |
| d:\se\carplate\front\src\views\Main.vue                                                                   | vue          |        288 |          0 |          3 |        291 |
| d:\se\carplate\front\src\views\code\vue\api.js                                                            | JavaScript   |          7 |          2 |          2 |         11 |
| d:\se\carplate\front\src\views\code\vue\index.vue                                                         | vue          |        536 |          2 |          5 |        543 |
| d:\se\carplate\front\src\views\demo\antv1\index.vue                                                       | vue          |        128 |          0 |          4 |        132 |
| d:\se\carplate\front\src\views\demo\antv2\index.vue                                                       | vue          |        153 |          0 |          5 |        158 |
| d:\se\carplate\front\src\views\demo\antv3\index.vue                                                       | vue          |        213 |          0 |          4 |        217 |
| d:\se\carplate\front\src\views\demo\antv4\index.vue                                                       | vue          |        116 |          0 |          4 |        120 |
| d:\se\carplate\front\src\views\demo\antvActive\api.js                                                     | JavaScript   |          4 |          0 |          1 |          5 |
| d:\se\carplate\front\src\views\demo\antvActive\index.vue                                                  | vue          |        166 |          0 |          5 |        171 |
| d:\se\carplate\front\src\views\demo\demo1\add.vue                                                         | vue          |        136 |          0 |          8 |        144 |
| d:\se\carplate\front\src\views\demo\demo1\api.js                                                          | JavaScript   |         22 |          0 |          1 |         23 |
| d:\se\carplate\front\src\views\demo\demo1\edit.vue                                                        | vue          |        142 |          0 |          8 |        150 |
| d:\se\carplate\front\src\views\demo\demo1\index.vue                                                       | vue          |        475 |          0 |         14 |        489 |
| d:\se\carplate\front\src\views\demo\demo2\add.vue                                                         | vue          |        156 |          0 |          8 |        164 |
| d:\se\carplate\front\src\views\demo\demo2\api.js                                                          | JavaScript   |         22 |          0 |          1 |         23 |
| d:\se\carplate\front\src\views\demo\demo2\edit.vue                                                        | vue          |        162 |          0 |          8 |        170 |
| d:\se\carplate\front\src\views\demo\demo2\index.vue                                                       | vue          |        644 |          0 |         14 |        658 |
| d:\se\carplate\front\src\views\dict\dict\api.js                                                           | JavaScript   |         28 |          9 |          1 |         38 |
| d:\se\carplate\front\src\views\dict\dict\index.vue                                                        | vue          |        691 |          0 |          7 |        698 |
| d:\se\carplate\front\src\views\file\file\api.js                                                           | JavaScript   |         19 |          4 |          1 |         24 |
| d:\se\carplate\front\src\views\file\file\index.vue                                                        | vue          |        814 |          0 |         27 |        841 |
| d:\se\carplate\front\src\views\home\api.js                                                                | JavaScript   |         16 |          1 |          1 |         18 |
| d:\se\carplate\front\src\views\home\home.less                                                             | Less         |         15 |          3 |          1 |         19 |
| d:\se\carplate\front\src\views\home\home.vue                                                              | vue          |        362 |         25 |         38 |        425 |
| d:\se\carplate\front\src\views\home\myHome.vue                                                            | vue          |        218 |          0 |          6 |        224 |
| d:\se\carplate\front\src\views\home\search.vue                                                            | vue          |        226 |          0 |         33 |        259 |
| d:\se\carplate\front\src\views\log\log\api.js                                                             | JavaScript   |          4 |          0 |          1 |          5 |
| d:\se\carplate\front\src\views\log\log\index.vue                                                          | vue          |        413 |         23 |          9 |        445 |
| d:\se\carplate\front\src\views\login.vue                                                                  | vue          |        443 |          0 |         16 |        459 |
| d:\se\carplate\front\src\views\main-components\breadcrumb-nav.vue                                         | vue          |         18 |          0 |          2 |         20 |
| d:\se\carplate\front\src\views\main-components\fullscreen.vue                                             | vue          |         79 |          0 |          2 |         81 |
| d:\se\carplate\front\src\views\main-components\header.vue                                                 | vue          |         25 |          0 |          4 |         29 |
| d:\se\carplate\front\src\views\main-components\lockscreen\components\locking-page.vue                     | vue          |         43 |          0 |          2 |         45 |
| d:\se\carplate\front\src\views\main-components\lockscreen\components\unlock.vue                           | vue          |         87 |          0 |          3 |         90 |
| d:\se\carplate\front\src\views\main-components\lockscreen\lockscreen.vue                                  | vue          |         65 |          0 |          2 |         67 |
| d:\se\carplate\front\src\views\main-components\lockscreen\styles\unlock.less                              | Less         |        177 |          0 |          0 |        177 |
| d:\se\carplate\front\src\views\main-components\message-tip.vue                                            | vue          |         29 |          0 |          2 |         31 |
| d:\se\carplate\front\src\views\main-components\shrinkable-menu\components\sidebarMenu.vue                 | vue          |         84 |          0 |          2 |         86 |
| d:\se\carplate\front\src\views\main-components\shrinkable-menu\components\sidebarMenuShrink.vue           | vue          |         68 |          0 |          2 |         70 |
